,Star_name,Distance,Mass,Radius
95,2MASS 0939−2448,17.4,0.95,2005
223,WISE 0350-5658,17.7,,2010
112,2MASS J11145133−2618235,18.2,0.96,2005
165,LSR J1835+3259,18.5,1.07,2003
49,2MASS J04151954−0935066,18.6,0.95,2002
307,WISE 1741+2553,18.9,,2010
108,TWA 28,180,2.39,
33,2MASS J02535980+3206373,184,1.9,n/a
224,WISE 0359-5401,19.2,,2010
1,2MASS J00040288-6410358,192,1.63,
38,2MASS J03231002-4631237,192,1.66,n/a
225,WISE 0410+1502,20,1.17,2010
292,WISE 1541-2250,20,,2010
306,WISE 1738+2732,20,,2010
94,2MASSI J0937347+293142,20.0,0.94,2002
202,WISE 0146+4234,20.5,,2010
143,2MASS 1503+2525,20.7,0.94,2003
43,LP 944-20,20.9,1.43,n/a
119,2MASS J12074836-3900043,217,1.71,n/a
318,WISE 1928+2356,22.8,,2010
188,WISE 0005+3737,23.2,,2010
249,WISE 0713-2917,23.2,,2010
89,2MASSI J0835425-081923 [de],23.53,1.00,2003
146,2MASS 1507−1627,23.9,0.99,2000
5,2MASS J00274197+0503417,236,1.44,
34,WISE J0254+0223,24,1.9,n/a
197,WISE 0049+2151,24.1,,2010
326,WISE 2056+1459,24.5,,2010
284,WISE 1405+5534,25.3,0.86,2010
238,WISE 0607+2429,25.4,,2010
77,2MASS J07290002-3954043 [de],25.8,0.94,2007
176,2MASS J21481628+4003593,26.3,0.99,n/a
331,WISE 2220-3628,26.4,,2010
125,TWA 29,262,25,n/a
42,2MASS J03341218-4953322,27.0,1.04,n/a
91,2MASS J08533619-0329321,27.6,1.07,
159,WISEPA J164715.59+563208.2,28,0.94,n/a
214,WISE 0313+7807,28,,2010
247,WISE 0647-6232,28,,2010
300,WISE 1647+5632,28,,2010
10,2MASS 0036+1821,28.6,0.94,2000
309,WISE 1800+0134,28.7,,2010
54,2MASS J04390101-2353083 [de],29.5,0.97,2003
76,2MASSI J0727182+171001 [de],29.6,0.94,2002
133,ULAS J141623.94+134836.3,29.7,0.96,n/a
47,2MASS J03552337+1133437,29.8,1.32,2006
16,CFBDS J005910.90–011401.3,30,,2013
203,WISE 0148-7202,30,,2010
310,WISE 1804+3117,30,,2010
9,2MASS J00345157+0523050,31,0.94,n/a
116,2MASSW J1155395-372735 [de],31,1.00,2002
257,WISE 0811-8051,32,,2010
175,2MASS J21392676+0220226,32.1,0.96,n/a
295,WISE 1614+1739,32.6,,2010
274,WISE 1150+6302,32.9,,2010
280,WISE 1318-1758,32.9,,2010
282,WISE 1322-2340,33.9,,2010
13,2MASS J00501994-3322402 [de],34,0.94,n/a
52,2MASS J04351612-1606574,34,1.26,n/a
65,2MASS J05591914-1404488 [de],34,,2000
149,2MASSW J1515008+484742 [de],34,0.99,2003
275,WISE 1217+1626A,34.2,,2010
276,WISE 1217+1626B,34.2,,2010
321,WISE 2030+0749,34.2,,2010
103,2MASS J1047538+212423 [de],34.4,0.94,1999
66,LSR 0602+3910 [de],34.6,1.41,2003
252,WISE 0734-7157,34.9,,2010
29,2MASS J02431371−2453298,35,0.99,2002
85,2MASS J08251968+2115521 [de],35,0.98,2000
181,2MASS J22282889-4310262,35,0.94,2013
142,TVLM 513-46546,35.1,1.05,n/a
229,WISE 0458+6434A,35.9,4.2,2010
230,WISE 0458+6434B,35.9,3.8,2010
338,WISE 2313-8037,35.9,,2010
120,2MASSI J1217110-031113 [de],36,0.94,1999
156,SDSSp J162414.37+002915.6 [de],36,0.94,1999
313,WISE 1828+2650,36,,2010
219,WISE 0325+0831,36.5,,2010
193,WISE 0038+2758,36.9,,2010
152,2MASS J15462718-3325111 [de],37,0.94,2002
246,WISE 0627-1114,37.2,,2010
320,WISE 1959-3338,37.2,,2010
244,WISE 0623-0456,37.5,,2010
340,WISE 2325-4105,37.5,,2010
3,2MASS J00242463-0158201,37.7,1.09,
343,WISE 2340-0745,37.8,,2010
126,SDSSp J125453.90-012247.4 [de],38,0.98,2000
135,DENIS-P J142527.97-365023.4 [de],38,1.32,2004
180,2MASSW J2224438-015852,38,0.99,n/a
136,LHS 2924,38.5,1.06,
256,WISE 0759-4904,38.8,,2010
45,Teide 1,380,3.78,1995
70,2MASS J06244595-4521548 [de],39,0.99,2008
164,2MASS J18283572-4849046,39,0.95,n/a
255,WISE 0751-7634,39.1,,2010
301,WISE 1653+4444,39.5,,2010
12,WISEP J004701.06+680352.1 [fr],40,1.3,n/a
62,2MASS J0523−1403,40,1.01,n/a
73,2MASS J07003664+3157266 [de],40,,2003
270,WISE 1051-2138,40.8,,2010
293,WISE 1542+2230,41.1,,2010
64,SDSS J053951.99-005902.0,41.62,1.01,n/a
57,2MASS J04455387-3048204 [de],42,1.00,2003
262,WISE 0857+5604,42.1,,2010
325,WISE 2019-1148,42.4,,2010
327,WISE 2134-7137,42.7,,2010
349,WISE 2359-7335,42.7,,2010
86,SDSSp J083008.12+482847.4 [de],43,0.99,2002
90,2MASSI J0847287-153237 [de],43,1.00,2003
121,2MASS J12255432-2739466,43,,n/a
59,2MASS J05002100+0330501 [de],44,1.00,2008
154,2MASSW J1555157-095605 [de],44,1.03,2002
278,WISE 1311+0122,44.4,,2010
319,WISE 1952+7240,44.4,,2010
232,WISE 0513+0608,44.7,,2010
336,WISE 2255-3118,44.7,,2010
36,2MASS J03185403-3421292 [de],45,0.97,2008
332,WISE 2226+0440,45,,2010
217,WISE 0323-6025,45.3,,2010
123,2M 1237+6526,45.6,0.94,2003
221,WISE 0335+4310,45.7,,2010
250,WISE 0723+3403,45.7,,2010
97,2MASS J10073369-4555147,46,0.94,
145,2MASSW J1506544+132106 [de],46,1.02,2000
167,2MASS J18432213+4040209,46,1.22,n/a
259,WISE 0819-0335,46,,2010
329,WISE 2209-2734,46,,2010
334,WISE 2237+7228,46,,2010
346,WISE 2344+1034,46,,2010
0,SDSS J000013.54+255418.6 [de],46.1,0.99,2004
6,2MASS J00275592+2219328,46.9,,
37,2MASS J03205965+1854233,47,1.15,n/a
137,2MASS J14392837+1929150,47,1.03,n/a
139,2MASS J14482563+1031590 [de],47,0.99,2003
170,2MASSI J2057540-025230,47,1.02,n/a
207,WISE 0223-2932,47,,2010
231,WISE 0500-1223,47,,2010
235,WISE 0535-7500,47,,2010
312,WISE 1812+2721,47,,2010
253,WISE 0744+5628,47.3,,2010
268,WISE 1039-1600,47.3,,2010
195,WISE 0040+0900,47.6,,2010
266,WISE 1018-2445,47.6,,2010
324,WISE 2018-7423,47.9,,2010
55,2MASS J04414489+2301513,470,,2010
46,2MASS J03510004-0052452,48,1.27,n/a
131,SDSSp J134646.45-003150.4 [de],48,0.94,2000
155,2MASS J16150413+1340079 [de],48,0.94,2007
190,WISE 0015-4615,48.6,,2010
345,WISE 2343-7418,48.6,,2010
78,SDSS J074201.41+205520.5 [de],49,0.94,2004
107,DENIS-P J1058.7−1548,49,1.00,1997
79,2MASS J0746425+200032 [fr],49.6,,1999
50,SDSSp J042348.57-041403.5 [de],50,,2002
92,2MASSI J0859254-194926 [de],50,0.98,2003
158,2MASSW J1632291+190441 [de],50,0.97,1999
242,WISE 0614+3912,50.2,,2010
296,WISE 1617+1807,50.2,,2010
298,WISE 1627+3255,50.2,,2010
237,WISE 0542-1628,50.6,,2010
272,WISE 1124-0421,50.6,,2010
323,WISE 2015+6646,50.6,,2010
290,WISE 1519+7009,50.9,,2010
18,SDSSp J010752.33+004156.1 [de],51,0.98,
72,DENIS-P J0652197-253450 [de],51,1.05,2008
132,2MASS J13595510-4034582,51,1.00,n/a
151,DENIS-P J153941.96-052042.4 [de],51,1.00,2004
218,WISE 0325-3854,51.2,,2010
344,WISE 2342+0856,51.2,,2010
243,WISE 0614+0951,51.5,,2010
254,WISE 0750+2725,51.5,,2010
263,WISE 0906+4735,51.5,,2010
317,WISE 1906+4508,51.5,,2010
287,WISE 1457+5815,52.2,,2010
297,WISE 1622-0959,52.2,,2010
339,WISE 2319-1844,52.2,,2010
30,LP 771-21,53,1.08,n/a
102,2MASSW J1036530-344138 [de],53,0.97,2002
147,TVLM 868-110639,53,1.08,n/a
269,WISE 1042-3842,53.2,,2010
333,WISE 2237-0614,53.5,,2010
209,WISE 0241-3653,53.8,,2010
248,WISE 0656+4205,54.1,,2010
347,WISE 2348-1028,54.1,,2010
220,WISE 0333-5856,54.8,,2010
348,WISE 2357+1227,54.8,,2010
80,DENIS-P J0751164-253043 [de],55,1.03,2008
87,LHS 2021,55,1.15,
98,2MASSI J1010148-040649 [de],55,0.98,2003
222,WISE 0336-0143,55.4,,2010
277,WISE 1225-1013,55.4,,2010
294,WISE 1612-3420,55.4,,2010
316,WISE 1852+3537,55.4,,2010
110,OTS 44,554,,2005
183,2MASSW J2244316+204343,56,1.29,n/a
184,2MASS J23224684-3133231,56,1.39,n/a
210,WISE 0245-3450,56.1,,2010
281,WISE 1320+6034,56.1,,2010
267,WISE 1019+6529,56.8,,2010
11,2MASSW J0045214+163445,57,1.62,n/a
211,WISE 0247+3725,57.1,,2010
234,WISE 0528-3308,57.4,,2010
201,WISE 0138-0322,57.7,,2010
239,WISE 0611-0410,57.7,,2010
271,WISE 1122+2550,57.7,,2010
205,WISE 0206+2640,58.4,,2010
330,WISE 2213+0911,58.7,,2010
39,SDSS J032553.17+042540.1,59,0.95,n/a
96,2MASS J09490860-1545485 [de],59,0.96,2005
335,WISE 2239+1617,59.7,,2010
105,Luhman 16B,6.516,1.02,2013
106,Luhman 16A,6.516,1.01,2013
74,2MASS J07075327-4900503,60,1.03,n/a
81,2MASS J07522390+1612157,60,68,
101,2MASS J10224821+5825453 [de],60,1.41,2008
160,LSPM J1658+7027 [de],60,1.04,2000
286,WISE 1436-1814,60,,2010
302,WISE 1711+3500,60.3,,2010
337,WISE 2301+0216,60.7,,2010
127,Kelu-1A,61,0.98,1997
128,Kelu-1B,61,0.98,1997
204,WISE 0150+3827,61.3,,2010
328,WISE 2157+2659,61.6,,2010
172,2MASSI J2104149-103736,62,1.02,n/a
304,WISE 1721+1117,62.3,,2010
196,WISE 0049+0441,62.6,,2010
192,WISE 0032-4946,62.9,,2010
111,SDSS J111010.01+011613.1,63,1.24,
258,WISE 0812+4021,63.6,,2010
60,2MASS J05012406-0010452 [de],64,1.38,2008
182,2MASS J22373255+3922398,64,1.04,n/a
241,WISE 0612-3036,64.9,,2010
264,WISE 0929+0409,64.9,,2010
22,DENIS-P J020529.0−115925A,65,,1997
23,DENIS-P J020529.0−115925B,65,,1997
24,DENIS-P J020529.0−115925C,65,,1997
71,2MASS J06411840-4322329 [de],65,1.01,2008
130,SDSSp J132629.82-003831.5 [de],65,0.97,2000
169,SDSS J204749.61-071818.3,65,0.96,n/a
122,DENIS-P J1228.2-1547,66,,1999
227,WISE 0413-4750,66.2,,2010
83,DENIS J082303.1−491201A,67,,2006
84,DENIS J082303.1−491201B,67,,2006
150,2MASSI J1526140+204341 [de],67,0.98,2000
186,2MASS J23515044-2537367,67,1.16,n/a
199,WISE 0123+4142,67.2,,2010
245,WISE 0625+5646,67.2,,2010
153,2MASSW J1552591+294849 [de],68,1.43,2003
260,WISE 0821+1443,68.2,,2010
58,2MASS J04510093-3402150 [de],69,72,2003
68,WISEP J061135.13-041024.0A,69,,2014
69,WISEP J061135.13-041024.0B,69,,2014
228,WISE 0448-1935,69.8,,2010
17,2MASSI J0103320+193536,70,0.98,
21,SDSS J015141.69+124429.6,70,0.97,
341,WISE 2327-2730,70.8,,2010
144,CFBDS J150411+102717,71,0.94,n/a
191,WISE 0031-3840,71.8,,2010
138,LSPM J1440+1339,72,1.19,n/a
265,WISE 0952+1955,72.1,,2010
261,WISE 0836-1859,72.4,,2010
289,WISE 1517+0529,72.4,,2010
303,WISE 1717+6129,72.7,,2010
61,2MASS J05160945-0445499 [de],73,0.97,2003
206,WISE 0221+3842,73.1,,2010
187,2MASSI J2356547-155310,74,1.09,n/a
311,WISE 1809+3838,74.4,,2010
212,WISE 0305+3954,75,,2010
88,SDSS J083048.80+012831.1 [de],77,0.96,2004
200,WISE 0135+1715,77.3,,2010
251,WISE 0733+7544,78.3,,2010
162,2MASSW J1728114+394859,79,,n/a
40,2MASS J03264225-2102057 [de],80,1.3,2003
173,PSO J318.5−22,80,1.53,2013
63,2MASS 0532+8246,81,,2018
56,2MASS J04433764+0002040,82,1.78,n/a
213,WISE 0307+2904,82.8,,2010
308,WISE 1746-0338,83.8,,2010
291,WISE 1523+3125,84.5,,2010
216,WISE 0321-7347,84.8,,2010
236,WISE 0539-1034,84.8,,2010
285,WISE 1433-0837,84.8,,2010
51,2MASS J04285096-2253227 [de],85,1.09,2003
226,WISE 0410+1411,85.8,,2010
279,WISE 1311+3629,86.1,,2010
189,WISE 0008-1739,87.1,,2010
7,2MASSW J0030300-145033,87.2,0.98,n/a
44,2MASP J0345432+254023,88,1.05,1997
114,2MASSW J1146345+223053,89,,
148,SDSS J151114.66+060742.9 [de],89,,2006
163,SDSSp J175032.96+175903.9,90,0.97,n/a
342,WISE 2335+4222,90.3,,2010
208,WISE 0226-0211,91,,2010
283,WISE 1348+6603,91,,2010
178,2MASSW J2206450-421721,93,1.33,n/a
93,2MASSW J0920122+351742 [de],95,,2000
100,SDSS J102109.69-030420.1,95,,
240,WISE 0612-4920,95.2,,2010
15,2MASS J00584253-0651239 [de],96,1.43,n/a
322,WISE 2014+0424,96.2,,2010
305,WISE 1728+5716,97.8,,2010
41,2MASS J03284265+2302051 [de],98,0.98,2000
233,WISE 0525+6739,98.2,,2010
