,Star_name,Distance,Mass,Radius
273,WISE 1147-2040,102,,2010
274,WISE 1150+6302,32.9,,2010
275,WISE 1217+1626A,34.2,,2010
276,WISE 1217+1626B,34.2,,2010
277,WISE 1225-1013,55.4,,2010
278,WISE 1311+0122,44.4,,2010
279,WISE 1311+3629,86.1,,2010
280,WISE 1318-1758,32.9,,2010
281,WISE 1320+6034,56.1,,2010
282,WISE 1322-2340,33.9,,2010
283,WISE 1348+6603,91,,2010
284,WISE 1405+5534,25.3,0.86,2010
285,WISE 1433-0837,84.8,,2010
286,WISE 1436-1814,60,,2010
287,WISE 1457+5815,52.2,,2010
288,WISE 1506+7027,11.1,,2010
289,WISE 1517+0529,72.4,,2010
290,WISE 1519+7009,50.9,,2010
291,WISE 1523+3125,84.5,,2010
292,WISE 1541-2250,20,,2010
293,WISE 1542+2230,41.1,,2010
294,WISE 1612-3420,55.4,,2010
295,WISE 1614+1739,32.6,,2010
296,WISE 1617+1807,50.2,,2010
297,WISE 1622-0959,52.2,,2010
298,WISE 1627+3255,50.2,,2010
299,WISE 1639-6847,16.3,,2010
300,WISE 1647+5632,28,,2010
301,WISE 1653+4444,39.5,,2010
302,WISE 1711+3500,60.3,,2010
303,WISE 1717+6129,72.7,,2010
304,WISE 1721+1117,62.3,,2010
305,WISE 1728+5716,97.8,,2010
306,WISE 1738+2732,20,,2010
307,WISE 1741+2553,18.9,,2010
308,WISE 1746-0338,83.8,,2010
309,WISE 1800+0134,28.7,,2010
310,WISE 1804+3117,30,,2010
311,WISE 1809+3838,74.4,,2010
312,WISE 1812+2721,47,,2010
313,WISE 1828+2650,36,,2010
314,WISE 1830+4542,107,,2010
315,WISE 1841+7000,131.1,,2010
316,WISE 1852+3537,55.4,,2010
317,WISE 1906+4508,51.5,,2010
318,WISE 1928+2356,22.8,,2010
319,WISE 1952+7240,44.4,,2010
320,WISE 1959-3338,37.2,,2010
321,WISE 2030+0749,34.2,,2010
322,WISE 2014+0424,96.2,,2010
323,WISE 2015+6646,50.6,,2010
324,WISE 2018-7423,47.9,,2010
325,WISE 2019-1148,42.4,,2010
326,WISE 2056+1459,24.5,,2010
327,WISE 2134-7137,42.7,,2010
328,WISE 2157+2659,61.6,,2010
329,WISE 2209-2734,46,,2010
330,WISE 2213+0911,58.7,,2010
331,WISE 2220-3628,26.4,,2010
332,WISE 2226+0440,45,,2010
333,WISE 2237-0614,53.5,,2010
334,WISE 2237+7228,46,,2010
335,WISE 2239+1617,59.7,,2010
336,WISE 2255-3118,44.7,,2010
337,WISE 2301+0216,60.7,,2010
338,WISE 2313-8037,35.9,,2010
339,WISE 2319-1844,52.2,,2010
340,WISE 2325-4105,37.5,,2010
341,WISE 2327-2730,70.8,,2010
342,WISE 2335+4222,90.3,,2010
343,WISE 2340-0745,37.8,,2010
344,WISE 2342+0856,51.2,,2010
345,WISE 2343-7418,48.6,,2010
346,WISE 2344+1034,46,,2010
347,WISE 2348-1028,54.1,,2010
348,WISE 2357+1227,54.8,,2010
349,WISE 2359-7335,42.7,,2010
350,WISEA 1101+5400,111,,2017
351,2M1510,120,,2002
